"id","region_name","PLV_mean_empirical","PLV_std_empirical","PLV_mean_surrogate","PLV_std_surrogate","raw_p_value","fdr_p_value","bonferroni_p_value"
1,"VIS_b",0.197774429339891,0.128786377339616,0.177450915654125,0.0910865454000118,0.363563180294905,0.409008577831768,1
2,"AUD1",0.188150689874266,0.105635815622716,0.170926462186427,0.0934469683032115,0.185188271917581,0.257764921736461,1
3,"AUD2",0.199513723435538,0.104006360068123,0.17250844411641,0.0860343744636481,0.0438656344860276,0.0986976775935622,0.789581420748497
4,"SMOT_ven",0.18542919986193,0.0940685377989777,0.172908579212949,0.0890565161468345,0.186163554587444,0.257764921736461,1
5,"VIS_a",0.193864835835144,0.107797356520961,0.171078076761119,0.0815051034383568,0.161944034840577,0.257764921736461,1
6,"SMOT_dor1",0.206092254126459,0.0758446114306601,0.169659946969856,0.084537389934024,0.00287745181392408,0.0227081324061042,0.0517941326506334
7,"ATTN_ven1",0.186010151269984,0.107771259230381,0.170494655331902,0.0920057609294195,0.150404414943459,0.257764921736461,1
8,"EXEC_r",0.17970618460064,0.0995486388665992,0.164533632571366,0.0821831600613325,0.252283872341126,0.315924294400483,1
9,"SAL",0.195165408818632,0.0831323143109887,0.178519041876135,0.0901740829960073,0.092297095277855,0.18459419055571,1
10,"AUD3",0.179095993250375,0.0805659864206973,0.156672398544351,0.0808233072858834,0.0330374834549999,0.0944161806814299,0.594674702189999
11,"SMOT_dor2",0.194674492867249,0.0855252091888351,0.170540952634707,0.0854654000201554,0.0367174035983339,0.0944161806814299,0.660913264770009
12,"CB",0.209272724157638,0.100206996746578,0.153898283374001,0.0791407733343888,0.000122648396616833,0.002207671139103,0.002207671139103
13,"EXEC_l",0.168854580354075,0.0885224473357859,0.160333879574838,0.0853848423795221,0.263270245333736,0.315924294400483,1
14,"ATTN_ven2",0.192019006287231,0.0811801546117686,0.165095086008823,0.0845284813598126,0.0178118245374464,0.080153210418509,0.320612841674036
15,"ATTN_dor",0.162024450835611,0.0803710711518078,0.163376945609423,0.0834204574087596,0.477308628640512,0.477308628640512,1
16,"DMN_c",0.19869435341949,0.108476712920746,0.163854634245565,0.0848564330107094,0.0345578850522878,0.0944161806814299,0.622041930941181
17,"DMN_a",0.174552132222356,0.0882032521891696,0.171892561388136,0.0892336711574885,0.435086907201787,0.460680254684246,1
18,"DMN_b",0.199035074580648,0.0857161094966816,0.16124573051141,0.0855683888265179,0.00378468873435071,0.0227081324061042,0.0681243972183127
